Genes	wt1	wt2	wt3	ko1	ko2	ko3	labs
A0A0R4IZY0	8.600988989	8.630331336	8.627368224	8.788076353	8.751789135	8.779231752	A0A0R4IZY0
A0A140T8J4	7.438013645	7.531732246	7.505277338	6.570410802	6.506607033	6.557987164	
A0A5K1VVS7	4.033107333	4.010787901	4.021531529	3.897512943	3.874955881	3.888540369	
D3Z4C9	5.720125397	5.734132644	5.730802547	5.549447352	5.533970373	5.530733439	
D6RGM8	2.1559964	2.163340487	2.125520062	1.866826243	1.848495094	1.806530797	D6RGM8
E9PYD1	2.874814647	2.911906362	2.880786473	2.618299081	2.606915653	2.579024938	
E9Q4P1	5.140522051	5.155490378	5.18523207	3.965381028	3.891212636	3.89957911	E9Q4P1
F6QB26	7.374488027	7.347267776	7.429027359	7.894947838	7.961256971	7.971251533	
O08688	7.994285385	7.955071255	7.965691608	7.815524834	7.843163905	7.824541194	O08688
O89029	4.919190915	4.941360049	4.947900669	4.711159183	4.725931547	4.683840565	
P08226	7.645002667	7.606574436	7.66035717	5.708039263	5.661851737	5.637063896	P08226
P17427	10.04356098	10.06145082	10.05970119	10.12298055	10.11945779	10.1361722	
P48318	8.481301855	8.491367623	8.504034419	8.605984429	8.578701884	8.602120282	P48318
P51655	5.781351742	5.799926457	5.846710845	6.172225052	6.129249701	6.106594981	
P60521	7.541023787	7.544469896	7.52329498	7.329683796	7.333742381	7.312304705	
P61164	8.681548782	8.670217175	8.667768354	8.603719893	8.589938591	8.597608369	
P80315	9.028116848	9.033939969	9.038357507	9.06758575	9.07266488	9.075161016	
Q3TEA8	8.217026371	8.167557744	8.225169419	8.420258102	8.410870497	8.455863252	
Q3UE92	7.741181073	7.668294831	7.730241951	6.540254362	6.550963444	6.54300759	
Q4VC33	4.204146317	4.201561605	4.209970384	4.292376969	4.30426621	4.291911079	
Q61941	8.916278166	8.823030754	8.850402076	6.94307329	6.874685948	6.877920486	
Q80U63	7.311875524	7.309818525	7.313396602	7.38584901	7.380365567	7.375247329	
Q80XN0	8.808745017	8.795546674	8.798268597	8.68382121	8.677665327	8.692538483	
Q8BH59	10.2713058	10.25787953	10.25228351	10.34665308	10.32664107	10.33892632	
Q8BH95	8.53571247	8.498162632	8.511639044	8.335053087	8.338489867	8.321995604	Q8BH95
Q8BKR5	4.654384543	4.644483577	4.648142555	4.714716564	4.717871299	4.707064938	
Q8BTW9	2.753828701	2.78125341	2.735651947	2.953687083	3.002695743	2.963217969	
Q8CHT1	6.10279265	6.155421328	6.094130124	6.718663869	6.608818057	6.625613692	
Q8JZQ2	8.563583981	8.565266309	8.551586511	8.757144428	8.736219895	8.74177971	
Q91WQ3	8.495128036	8.4787022	8.504594548	8.761966404	8.749771981	8.740042877	
Q91Z67	7.6962182	7.692076518	7.697038141	7.674204004	7.677234228	7.672757066	Q91Z67
Q923D2	5.17202584	5.208367098	5.267641205	5.576777732	5.556840011	5.623072231	Q923D2
Q99LC3	9.233278743	9.224015843	9.241013677	9.337643742	9.331510291	9.351249214	
Q99LY9	7.16327993	7.154281527	7.142964684	7.254996235	7.258595524	7.264095194	
Q99NF2	6.518364475	6.519203138	6.534041361	6.460819894	6.450324107	6.467951664	Q99NF2
Q9D1A2	8.078460915	8.063273722	8.100759386	8.352141726	8.392739309	8.38687023	Q9D1A2
Q9DB34	5.355035428	5.372764156	5.348156079	5.207181436	5.211309512	5.201514309	
Q9ER00	7.31754822	7.320604675	7.329863814	7.265039296	7.255400053	7.270221297	
Q9JI46	6.502533962	6.466634353	6.52641968	6.839062626	6.851515871	6.875825913	Q9JI46
Q9Z0Y1	7.224167903	7.201728791	7.206884404	7.102382218	7.094370739	7.088453496	
S4R2R5	5.131674903	5.193110255	5.192169098	5.872968265	5.878729648	5.827313793	S4R2R5
