Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
Q09666,AHNK_HUMAN,AHNAK PM227,reviewed,Q09666,4984.800507,4959.724695,4885.114853,12114.33764,11727.54481,11587.01952,0.000350161,0.002141511,1.256443172
Q15149,PLEC_HUMAN,PLEC PLEC1,reviewed,Q15149-3,18.44385675,20.20028963,17.78025103,20.9684458,19.7606642,18.96094122,0.308643832,0.340135415,0.081171386
Q15149,PLEC_HUMAN,PLEC PLEC1,reviewed,Q15149,3202.244428,3335.804133,3156.994503,6151.740003,5983.79064,6123.508587,2.83E-06,0.000319444,0.913291643
Q15149,PLEC_HUMAN,PLEC PLEC1,reviewed,Q15149-8,13.18007585,13.66558497,13.50839075,10.36080367,10.83964697,9.876970579,0.002227159,0.00628059,-0.376846733
Q15149,PLEC_HUMAN,PLEC PLEC1,reviewed,Q15149-4,12.86596234,12.27708927,12.16203951,32.36789439,32.90083376,31.91327357,1.35E-06,0.000223258,1.381316616
P21333,FLNA_HUMAN,FLNA FLN FLN1,reviewed,P21333-2,3657.096651,4067.2807,3777.62035,3550.463411,3597.421585,3459.932638,0.122895987,0.146827666,-0.116756576
Q14204,DYHC1_HUMAN,DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,reviewed,Q14204,1904.562208,2152.552876,1995.281314,2720.717552,2785.740388,2780.837617,0.005933318,0.011834786,0.453394896
P78527,PRKDC_HUMAN,PRKDC HYRC HYRC1,reviewed,P78527,3128.557841,3051.247683,3228.971001,4411.320533,4378.456644,4533.279374,5.09E-05,0.000873574,0.501846062
O75369,FLNB_HUMAN,FLNB FLN1L FLN3 TABP TAP,reviewed,O75369,3.341025487,3.432526537,2.860996379,4.382183979,3.990016612,3.891100064,0.020514227,0.030827078,0.348058381
O75369,FLNB_HUMAN,FLNB FLN1L FLN3 TABP TAP,reviewed,O75369-8,1866.684561,1978.908327,1883.780992,3243.082217,3252.63649,3099.913507,6.43E-05,0.000962943,0.744000376
P35579,MYH9_HUMAN,MYH9,reviewed,P35579,2045.95136,2164.755121,2067.684156,4545.344197,4695.042771,4570.877235,3.13E-06,0.000319444,1.137378681
P49327,FAS_HUMAN,FASN FAS,reviewed,P49327,3545.462614,4290.743339,3811.237058,1796.230606,1808.339075,1721.966683,0.009693483,0.016938477,-1.128743656
Q14315,FLNC_HUMAN,FLNC ABPL FLN2,reviewed,Q14315,1592.317517,1582.53668,1578.74268,7415.2227,7548.008523,7428.294771,4.46E-05,0.000822881,2.235861384
Q13813,SPTN1_HUMAN,SPTAN1 NEAS SPTA2,reviewed,Q13813,1525.335191,1545.062781,1517.217234,1753.979556,1716.727561,1719.542207,0.000325157,0.002065428,0.178059455
A0A0D9SF54,A0A0D9SF54_HUMAN,SPTAN1,unreviewed,A0A0D9SF54,13.40852204,13.77656139,13.66546506,11.40585998,12.08920041,11.64487725,0.003221215,0.007914555,-0.217243818
Q14980,NUMA1_HUMAN,NUMA1 NMP22 NUMA,reviewed,Q14980,2170.032541,1963.544545,2097.315103,1116.549703,1098.507177,1057.41568,0.002045113,0.005975415,-0.92905766
Q14980,NUMA1_HUMAN,NUMA1 NMP22 NUMA,reviewed,Q14980-2,36.50062412,32.48512144,35.84940659,17.17610955,16.78495503,14.54970141,0.000518331,0.002620378,-1.111745681
