Accession,pvalue,log2FC,Gene,Label
A0A024QZ33,0.009851432,0.247068755,NSRP1,NO
A0A024QZW4,0.003714018,-0.650303785,SLC35B3,NO
A0A024R4E5,0.001340196,0.143079186,HDLBP,NO
A0A024R571,0.001533934,0.975803558,EHD1,YES
A0A024RAC6,0.000161727,-0.703995701,ELOA,NO
A0A024RCR6,0.052040553,0.146387501,BAG6,NO
A0A044PY82,0.000882473,-1.670375178,MISP3,YES
A0A067XG54,0.00331796,-0.451741228,ATP11C,NO
A0A075B6E4,0.005126669,-0.352873721,VGLL4,NO
A0A075B6H3,0.165548125,-0.152006581,TMCO4,NO
A0A075B6T1,0.718347707,-0.044776666,AMBRA1,NO
A0A087WT12,0.012085245,-0.554236987,GPX4,NO
A0A087WT20,0.027279115,-0.261820509,DCAF13,NO
A0A087WT21,0.223686744,0.169875487,CECR2,NO
A0A087WT44,0.002615295,0.441759524,HMOX2,NO
A0A087WTA8,0.337495943,-2.321494839,COL1A2,NO
A0A087WTC8,0.184424119,0.296332953,HTD2,NO
A0A087WTM1,0.047817733,0.132059626,ROBO1,NO
A0A087WTQ6,0.198349565,0.055647696,SDK1,NO
A0A087WU02,0.006094043,-0.86822247,ERGIC2,NO
A0A087WU07,0.030337115,-0.363981457,MICOS10,NO
A0A087WU35,0.007580315,-0.481145548,ZNF714,NO
A0A087WUC6,0.588491392,-0.039218415,SPCS2,NO
A0A087WUD3,0.946555968,0.003957447,OSTC,NO
A0A087WUK4,0.835421033,0.031674808,NR2C1,NO
A0A087WUL4,0.008634168,0.716325484,PEG10,NO
A0A087WUS5,0.809559753,0.025526582,MYC,NO
A0A087WV05,0.032589248,0.161765982,,NO
A0A087WV34,0.077698623,0.334225129,GLMP,NO
A0A087WVC6,0.013078991,-0.240100486,PTPRJ,NO
A0A087WVD1,0.779630521,0.062390474,LENG9,NO
A0A087WVI1,0.011118038,0.683833109,PDLIM2,NO
A0A087WVI4,0.004201233,-1.86602717,TMC4,NO
A0A087WVQ6,0.795462739,0.014616352,CLTC,NO
A0A087WVS8,0.005954576,1.037848659,MOB2,NO
A0A087WVZ0,0.010415169,-1.192400794,MPC1,NO
A0A087WWH3,0.077235874,-0.160960314,BICRA,NO
A0A087WWK3,0.02523273,-0.253555895,CDKN3,NO
A0A087WWW9,0.005511084,0.371741063,BCL10,NO
A0A087WX60,0.001961906,1.29854918,MYPN,NO
A0A087WX83,0.001845223,2.319953334,PDE4DIP,NO
A0A087WXD1,0.001257594,-0.964132506,SLC9A7,NO
A0A087WXK5,0.672445089,0.02506174,ABCA2,NO
A0A087WXK8,0.009557944,0.531737109,FAM83D,NO
A0A087WXL6,0.734238963,0.018305903,VPS11,NO
A0A087WY31,0.000458534,0.924712641,YTHDF3,NO
A0A087WY55,0.159583461,-0.112298146,VTA1,NO
A0A087WY58,0.043678224,0.691682159,NEK3,NO
A0A087WYL5,0.002312923,-0.439817156,SEZ6L2,NO
A0A087WYV9,0.010802293,-0.910192283,SYNJ2BP-COX16,NO
A0A087WZ13,0.820383783,0.004355195,RAVER1,NO
A0A087WZE9,0.04863856,-0.290141776,HMGN3,NO
A0A087WZF1,0.000702218,0.477991539,LPP,NO
A0A087WZT0,0.133823393,0.125503467,SAMD4B,NO
A0A087X0I6,0.002516078,-1.389501677,MARK1,NO
A0A087X0L7,0.023699973,-0.273071237,OXA1L,NO
A0A087X0M4,0.00632385,-0.824688585,SLC4A1AP,NO
A0A087X0M6,0.027244293,-0.236592468,ZNF850,NO
A0A087X0N3,0.003003666,0.877131874,NOL4L,NO
A0A087X0R6,0.00461312,0.516265481,SNX12,NO
A0A087X0V4,0.751196835,-0.133491029,ZBTB8OS,NO
A0A087X0W8,0.007875953,0.346491093,RELA,NO
A0A087X0W9,0.089233329,-0.149642708,OTUD6B,NO
A0A087X159,0.016234892,-0.430623742,SSBP2,NO
A0A087X165,0.272045683,-0.16693738,SRCIN1,NO
A0A087X169,0.098814079,-0.157918696,PHF19,NO
A0A087X1G7,0.009013139,0.179634095,SELENOF,NO
A0A087X1R1,0.003846858,1.451352728,SMTN,NO
A0A087X1Z3,0.06017104,-0.292166621,PSME2,NO
A0A087X211,0.001415703,0.665949868,CIP2A,NO
A0A087X295,0.001664688,0.868793259,WDR6,NO
A0A087X2D5,0.00320323,-0.101850894,MRPL45,NO
A0A087X2D8,0.001060151,0.881589223,SPAG9,NO
A0A087X2F1,0.012270252,0.505002225,ZSCAN26,NO
A0A087X2I1,0.012016554,0.256694991,PSMC6,NO
A0A088AWN3,0.865191497,-0.011313253,DOCK9,NO
A0A096LNH6,0.013590484,0.687197383,DOCK1,NO
A0A096LNZ9,0.01324293,-0.95977414,ISG15,NO
A0A096LP01,0.005320646,-1.198799332,SMIM26,NO
A0A096LP25,0.000333879,0.601814259,AAK1,NO
A0A096LPI6,0.003679395,-1.228277811,,NO
A0A096LPJ3,0.884164631,-0.011539679,GPS1,NO
A0A0A0MQR2,0.021982783,-0.606098612,RTF2,NO
A0A0A0MQS0,0.93828128,-0.00406039,PHF20L1,NO
A0A0A0MQW0,0.024203235,-0.397152594,MYEF2,NO
A0A0A0MQX8,0.007020427,0.305139401,MBNL1,NO
A0A0A0MR09,0.005565671,1.00998529,PTPN9,NO
A0A0A0MR51,0.022609422,-0.253415743,FADS1,NO
A0A0A0MRB5,0.03002508,-0.304560332,MADD,NO
A0A0A0MRI1,0.182363591,0.080879532,GPALPP1,NO
A0A0A0MRJ2,0.019894792,0.64227152,ATF3,NO
A0A0A0MRM8,0.001230593,-1.020055444,MYO6,NO
A0A0A0MRM9,0.029171516,-0.274531755,NOLC1,NO
A0A0A0MRR5,0.877951108,0.012725143,UPRT,NO
A0A0A0MRV4,0.074097838,-0.341072507,PRXL2B,NO
A0A0A0MRX1,0.00320574,1.56596644,ELAVL2,NO
A0A0A0MRY0,0.020914121,0.247006246,TBC1D22A,NO
A0A0A0MRZ1,0.071395328,0.369169361,UNKL,NO
A0A0A0MSB8,0.004464,0.237526046,EXOC7,NO
A0A0A0MSI2,0.073273796,-0.11297956,PHC2,NO
A0A0A0MSI8,0.00426548,0.330911245,EXOC5,NO
A0A0A0MSJ9,0.00193681,0.743721338,RASA2,NO
A0A0A0MSK2,0.007557654,-0.629954773,PET100,NO
A0A0A0MT26,0.000984083,1.411713397,ATP1A3,NO
A0A0A0MT54,0.083397441,0.633485298,WT1,NO
A0A0A0MT58,0.000912445,-1.459805598,TCEA2,NO
A0A0A0MT83,0.007677999,-0.983314804,IVD,NO
A0A0A0MTB8,0.391137542,-0.034724631,WDR36,NO
A0A0A0MTC1,0.229565203,-0.09807546,RNF213,NO
A0A0A0MTH3,0.00026698,1.013870458,ILK,NO
A0A0A0MTH9,0.225541086,0.091078163,BTAF1,NO
A0A0A0MTI1,0.003289377,-0.869762691,DHCR24,NO
A0A0A0MTJ9,0.004696874,0.79921005,NCEH1,NO
A0A0A0MTL6,0.002141511,0.715904646,RIPOR1,NO
A0A0A0MTR2,0.00194214,0.712629681,OGFOD1,NO
A0A0A0MTS7,0.003157412,0.397866932,TTN,NO
A0A0A6YYG7,0.197647135,0.186786394,NCAPH2,NO
A0A0A6YYJ5,0.003934728,0.726037645,MACF1,NO
A0A0B4J1R2,0.001709159,-1.380583379,ACSS3,NO
A0A0B4J1W3,0.001535752,0.92463286,NAA15,NO
A0A0B4J270,0.011285662,0.319998788,IFI27L2,NO
A0A0B4J294,0.001616998,-0.65138112,TRAPPC2L,NO
